pair,schedule,accepted,reject_reason,quality_flag,pair_zncc_in,pair_zncc_out,pair_zncc_delta,improved_count,worse_count,net_improved,delta_median,delta_p05,repaired_clusters,baseline_weak_clusters,wall_s,error
1205-1202,dense256,True,,False,0.16693815309374235,0.16545761156238997,-0.0014805415313523806,1146,1355,-209,-0.0011250409498092528,-0.0327020641142307,111,198,112.62653555100405,
1205-1202,fine128,False,quality_flag,True,0.16693815309374235,0.1637593899644567,-0.0031787631292856666,1016,1489,-473,-0.002988921814696413,-0.05561656042142643,104,198,234.73739918199863,
1151-1149,dense256,True,,False,0.16925088527293722,0.17017533770773643,0.0009244524347992167,1486,929,557,0.001570520585154854,-0.010026179167990089,166,231,327.2063369030002,
1151-1149,fine128,True,,False,0.16925088527293722,0.17073420809346732,0.0014833228205300975,1537,894,643,0.002866766966486356,-0.012089911840126298,158,231,240.16576226599864,
1004-1003,dense256,True,,False,0.1703894097573393,0.17646700462577075,0.006077594868431457,1684,824,860,0.003427182548246477,-0.015324202380577922,85,116,75.8284021790023,
1004-1003,fine128,True,,False,0.1703894097573393,0.1807962611726065,0.010406851415267204,2156,356,1800,0.011808110556892293,-0.005573756058248791,99,116,369.7175283450051,
1074-1073,dense256,True,,False,0.1707556054806815,0.1763570352345125,0.005601429753830989,1584,917,667,0.0062009208515134695,-0.03223331427959378,100,131,101.75516765000066,
1074-1073,fine128,True,,False,0.1707556054806815,0.18199200520636347,0.011236399725681967,2179,325,1854,0.01804934256606186,-0.007268616991881552,119,131,481.37581600400154,
1154-1153,dense256,True,,False,0.17077202519758486,0.1772141231247092,0.0064420979271243295,1514,870,644,0.009207915738455585,-0.03662137428349671,103,139,80.55668841100123,
1154-1153,fine128,True,,False,0.17077202519758486,0.18339443774898734,0.012622412551402479,1882,500,1382,0.02064781165130855,-0.015602584389211901,124,139,395.2311139040103,
745-742,dense256,True,,False,0.17288259873045414,0.17897572930836272,0.006093130577908584,1845,639,1206,0.006937866549901847,-0.012192085929371127,196,239,39.91766214699601,
745-742,fine128,True,,False,0.17288259873045414,0.17790533704449552,0.005022738314041375,1638,837,801,0.005240611775021553,-0.02147203104053256,178,239,104.95346992800478,
730-729,dense256,True,,False,0.17384633307313005,0.2033429658089003,0.029496632735770245,1918,515,1403,0.030946946477821147,-0.02129050973271641,106,123,55.083157412998844,
730-729,fine128,True,,False,0.17384633307313005,0.2061851742737262,0.03233884120059616,2297,141,2156,0.05736978293781733,-0.0018300362235873055,122,123,686.2798165540007,
